Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Portas,Final de placa,CEP,Município,Bairro,url,Cor
"Carros, vans e utilitários",PEUGEOT EXPERT BUSINESS PACK 1.6 TURBO DIESEL,PEUGEOT,Van/Utilitário,2019,77000,1.6,Diesel,Manual,Hidráulica,,9,87005070,Maringá,Vila Bosque,https://pr.olx.com.br/regiao-de-maringa/autos-e-pecas/carros-vans-e-utilitarios/peugeot-expert-business-pack-1-6-turbo-diesel-898767354,Branco
"Carros, vans e utilitários",GM - CHEVROLET CAMARO SS 6.2 V8 16V,GM - CHEVROLET,Passeio,2011,70000,4.0 ou mais,Gasolina,Automático,Hidráulica,2 portas,1,86055784,Londrina,Vivendas do Arvoredo,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/camaro-ss-v8-898079780,Preto
"Carros, vans e utilitários",FIAT CRONOS PRECISION 1.8 16V FLEX AUT.,FIAT,,2020,12289,1.8,Flex,Automático,Elétrica,4 portas,0,83601320,Campo Largo,Centro,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/fiat-cronos-precision-1-8-16v-flex-aut-886950557,Branco
"Carros, vans e utilitários",MITSUBISHI LANCER 2.0 16V 160CV AUT.,MITSUBISHI,Sedã,2019,33000,,Gasolina,Automático,Hidráulica,4 portas,,82590400,Curitiba,Tarumã,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/mitsubishi-lancer-2-0-16v-gasolina-4p-automatico-883296322,Azul
"Carros, vans e utilitários",HONDA CIVIC SEDAN LXS 1.8/1.8 FLEX 16V MEC. 4P,HONDA,Sedã,2007,125000,1.8,Flex,Manual,Hidráulica,4 portas,,86010510,Londrina,Centro,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-lxs-manual-legalizado-baixo-898778018,Prata
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE COMF/HIGHLI. 1.6 MI T.FLEX 8V 4P,VW - VOLKSWAGEN,Sedã,2012,128000,1.6,Flex,Manual,Hidráulica,4 portas,6,81020000,Curitiba,Novo Mundo,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/voyage-comfortline-legalizado-898777824,Prata
"Carros, vans e utilitários",VW - VOLKSWAGEN GOLF SPORTLINE 1.6 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Hatch,2009,120000,1.6,Flex,Manual,Hidráulica,4 portas,3,81630180,Curitiba,Hauer,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-golf-sportline-1-6-892277266,Preto
"Carros, vans e utilitários",VW - VOLKSWAGEN FOX PRIME/HIGLI. 1.6 TOTAL FLEX 8V 5P,VW - VOLKSWAGEN,,2013,133250,1.0,Flex,Manual,Hidráulica,4 portas,7,81610120,Curitiba,Hauer,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-fox1-6-prime-g2-total-flex-885982245,Prata
"Carros, vans e utilitários",NISSAN KICKS S 1.6 16V FLEXSTAR 5P MEC.,NISSAN,Passeio,2020,46160,,Flex,Automático,,4 portas,6,85816510,Cascavel,São Cristóvão,https://pr.olx.com.br/regiao-de-foz-do-iguacu-e-cascavel/autos-e-pecas/carros-vans-e-utilitarios/kicks-2019-2020-1-6-16v-flexstart-sv-4p-xtronic-883010954,
"Carros, vans e utilitários",BMW X3 XDRIVE 30I X-LINE 2.0 TURBO 252CV AUT,BMW,SUV,2015,100000,2.0 - 2.9,Gasolina,Automático,Hidráulica,4 portas,3,85812151,Cascavel,Região do Lago,https://pr.olx.com.br/regiao-de-foz-do-iguacu-e-cascavel/autos-e-pecas/carros-vans-e-utilitarios/vendo-bnw-x3-xdrive-2-0-ano-2015-849958417,Preto
