Categoria,Modelo,Marca,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Cor,Portas,Final de placa,CEP,Município,Bairro,url,Direção,Tipo de veículo
"Carros, vans e utilitários",CITROEN C4 GLX 1.6 FLEX 16V 5P MEC.,CITROEN,2010,119,1.6,Flex,Manual,Prata,4 portas,,88330358,Balneário Camboriú,Centro,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/c4-hatch-898784423,Elétrica,Hatch
"Carros, vans e utilitários",MITSUBISHI ASX HPE AWD 2.0 16V FLEX AUT.,MITSUBISHI,2019,52000,2.0 - 2.9,Flex,Automático,Branco,4 portas,6,89114882,Gaspar,Sete de Setembro,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/mitsubishi-asx-2-0-aut-awd-4x4-ano-2019-866754658,Hidráulica,SUV
"Carros, vans e utilitários",RENAULT SANDERO EXPRESSION HI-FLEX 1.0 16V 5P,RENAULT,2017,65000,1.0,Flex,Manual,Branco,4 portas,0,89209005,Joinville,João Costa,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/sandero-2017-completo-886796346,Hidráulica,Hatch
"Carros, vans e utilitários",HONDA CIVIC SEDAN LXS 1.8/1.8 FLEX 16V MEC. 4P,HONDA,2014,114977,,Flex,Manual,Cinza,4 portas,9,88708200,Tubarão,Humaitá de Cima,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/civic-sedan-lxs-1-8-1-8-flex-16v-mec-4p-889761282,,Passeio
"Carros, vans e utilitários",FORD TERRITORY TITANIUM 1.5 GTDI ECOBO. AUT,FORD,2021,0,,Flex,Automático,,4 portas,0,88815000,Criciúma,Próspera,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/territory-2020-2021-1-5-ecoboost-gtdi-gasolina-titanium-automatico-825671446,,Passeio
"Carros, vans e utilitários",VW - VOLKSWAGEN GOLF 1.6 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,2012,114000,1.6,Gasolina,Manual,Prata,4 portas,2,88960000,Sombrio,,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/golf-sportline-limited-edition-898784298,Hidráulica,Hatch
"Carros, vans e utilitários",FIAT SIENA 1.0/ EX 1.0 MPI FIRE/ FIRE FLEX 8V,FIAT,2006,147000,1.0,Flex,Manual,Cinza,4 portas,3,88104732,São José,Fazenda Santo Antônio,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/siena-fire-flex-867037771,Hidráulica,Sedã
"Carros, vans e utilitários",JEEP RENEGADE LONGITUDE 1.8 4X2 FLEX 16V AUT.,JEEP,2016,66800,1.8,Flex,Automático,Verde,4 portas,8,88108100,São José,Roçado,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renegade-longitude-1-8-aut-66000km-2016-878887638,Elétrica,SUV
"Carros, vans e utilitários",FORD FIESTA SED. 1.6 8V FLEX 4P,FORD,2012,88000,1.6,Flex,Manual,Branco,4 portas,7,88101280,São José,Campinas,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiesta-sed-1-6-com-couro-878668768,Hidráulica,Sedã
"Carros, vans e utilitários",LAND ROVER FREELANDER HSE 2.5 V6 24V 177CV 5P,LAND ROVER,2005,138980,2.0 - 2.9,Gasolina,Automático,Preto,4 portas,6,88304000,Itajaí,São João,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/freelander-hse-2-5-v6-24v-177cv-5p-861906232,Hidráulica,SUV
