Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,price,url,Bairro
"Carros, vans e utilitários",FIAT PALIO ATTRACTIVE 1.0 EVO FIRE FLEX 8V 5P,FIAT,Hatch,2013,76700,1.0,Flex,Manual,Hidráulica,Preto,4 portas,3,58075400,João Pessoa,30900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/palio-attractive-1-0-2013-completo-75-mil-km-891411115,Ernesto Geisel
"Carros, vans e utilitários",FIAT MOBI DRIVE 1.0 FLEX 6V 5P,FIAT,Hatch,2018,64986,1.0,Flex,Manual,Elétrica,Branco,4 portas,4,58028880,João Pessoa,38900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/fiat-mobi-drive-1-0-flex-4p-br-ano-2018-895671287,Ipês
"Carros, vans e utilitários",PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P AUT.,PEUGEOT,Sedã,2012,121581,2.0 - 2.9,Flex,Automático,Hidráulica,Cinza,4 portas,8,58028880,João Pessoa,28900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/peugeot-408-allure-2-0-at-br-ano-2012-895670721,Ipês
"Carros, vans e utilitários",MITSUBISHI PAJERO FULL GLS/GLS/PKHPE 3.2 DIES.TI 5P,MITSUBISHI,,2009,1,3.0 - 3.9,Diesel,Automático,,Cinza,4 portas,,58033455,João Pessoa,89900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/pajero-full-4x4-2009-895663395,Brisamar
"Carros, vans e utilitários",HONDA FIT LX 1.4/ 1.4 FLEX 8V/16V 5P AUT.,HONDA,Hatch,2008,135000,1.4,Flex,Automático,Elétrica,Prata,4 portas,8,58073010,João Pessoa,27900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-1-4-lx-automatico-2008-flex-completo-895666423,José Américo de Almeida
"Carros, vans e utilitários",GM - CHEVROLET PRISMA SED. JOY/ LS 1.0 8V FLEXPOWER 4P,GM - CHEVROLET,Sedã,2018,202,1.0,Flex,Manual,Elétrica,Branco,4 portas,8,58407285,Campina Grande,46000.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/vendo-prisma-joy-2018-895667497,José Pinheiro
"Carros, vans e utilitários",VW - VOLKSWAGEN T-CROSS,VW - VOLKSWAGEN,,2020,10009,,Flex,Automático,,Outra,4 portas,,58310000,Cabedelo,99990.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-t-cross-1-0-200-tsi-total-flex-sense-automatico-895664032,
"Carros, vans e utilitários",FORD FIESTA SE 1.6 8V FLEX 5P,FORD,Hatch,2015,98000,1.5,Flex,Manual,Hidráulica,Branco,4 portas,4,58036845,João Pessoa,37990.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/new-fiesta-hatch-se-1-5-flex-2015-completo-878971064,Aeroclube
"Carros, vans e utilitários",FORD ECOSPORT XLT FREESTYLE 1.6 FLEX 8V 5P,FORD,SUV,2011,147000,1.6,Flex,Manual,Hidráulica,Preto,4 portas,9,58000079,João Pessoa,35990.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/eco-sport-1-6-2011-895661283,
"Carros, vans e utilitários",JEEP RENEGADE LONGITUDE 2.0 4X4 TB DIESEL AUT,JEEP,SUV,2018,50000,,Diesel,Automático,Elétrica,,,,58045010,João Pessoa,110900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-diesel-4x4-longitude-18-18-emplacado-2021-880829431,Cabo Branco
"Carros, vans e utilitários",FIAT IDEA ESSENCE 1.6 FLEX 16V 5P,FIAT,Hatch,2014,0,1.6,Flex,Manual,Hidráulica,Branco,4 portas,3,58015180,João Pessoa,32900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/fiat-idea-essense-1-6-895661698,Jaguaribe
"Carros, vans e utilitários",GM - CHEVROLET CELTA LIFE 1.0 MPFI VHC 8V 3P,GM - CHEVROLET,Hatch,2011,1,1.0,Flex,Manual,Mecânica,Prata,2 portas,4,58040300,João Pessoa,19500.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/celta-895659667,Torre
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM - CHEVROLET,Hatch,2019,49000,1.0,Flex,Manual,Elétrica,Prata,,6,58040380,João Pessoa,48800.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/onix-joy-1-0-completo-unico-dono-2019-892258723,Torre
"Carros, vans e utilitários",GM - CHEVROLET S10 P-UP ADVANT. 2.4/2.4 MPFI F.POWER CD,GM - CHEVROLET,Pick-up,2007,10000,2.0 - 2.9,Flex,Manual,Hidráulica,Preto,4 portas,1,58388000,Alagoa Grande,37000.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/s10-flex-completa-895653047,
"Carros, vans e utilitários",GM - CHEVROLET CRUZE LT 1.4 16V TURBO FLEX 4P AUT.,GM - CHEVROLET,Sedã,2017,39126,1.4,Flex,Automático,Elétrica,Vermelho,4 portas,6,58028880,João Pessoa,78900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/veiculo-gm-cruzer-lt-1-4-turbo-flex-br-ano-2017-895657267,Ipês
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM - CHEVROLET,Hatch,2018,56387,1.0,Flex,Manual,Hidráulica,Branco,4 portas,4,58033410,João Pessoa,44875.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/onix-1-0-879492371,Brisamar
"Carros, vans e utilitários",GM - CHEVROLET PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P,GM - CHEVROLET,Sedã,2015,96000,1.4,Flex,Manual,Hidráulica,Prata,4 portas,2,58400048,Campina Grande,47990.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/prisma-ltz-2015-1-4-completo-895652261,Centro
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM - CHEVROLET,Hatch,2017,86000,1.0,Flex,Manual,Hidráulica,Vermelho,4 portas,7,58400048,Campina Grande,44990.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/onix-joy-1-0-completo-2017-895651320,Centro
