Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,url,Tipo,Novo/Usado
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1.0 PLUS 8V 4P,VW - VOLKSWAGEN,Passeio,2008,120,1.0,Flex,Manual,,Prata,4 portas,0,18214130,Itapetininga,Jardim Maricota,https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/gol-g4-prata-898724626,,
"Carros, vans e utilitários",HYUNDAI TUCSON 2.0 16V FLEX AUT.,HYUNDAI,SUV,2015,107000,2.0 - 2.9,Flex,Automático,Hidráulica,Branco,4 portas,7,11020001,Santos,Macuco,https://sp.olx.com.br/baixada-santista-e-litoral-sul/autos-e-pecas/carros-vans-e-utilitarios/tucson-glsb-aut-2-0-2015-completa-893466244,,
"Carros, vans e utilitários",AUDI A3 1.8 5P MEC.,AUDI,Hatch,2001,224000,1.8,Gasolina,Manual,Hidráulica,Prata,4 portas,6,03570130,São Paulo,Parque Savoy City,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/audi-a3-1-8-turbo-150-cv-manual-898724646,,
"Carros, vans e utilitários",GM - CHEVROLET ASTRA COMFORT 2.0 MPFI FLEXPOWER 8V 5P,GM - CHEVROLET,Hatch,2005,170000,2.0 - 2.9,Flex,Manual,Hidráulica,Prata,4 portas,2,13455634,Santa Bárbara D'Oeste,Parque Frezarin,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/astra-hatch-confort-2004-modelo-2005-898724583,,
"Carros, vans e utilitários",GM - CHEVROLET ZAFIRA COLLECTION 2.0 FLEXPOWER 8V AUT.,GM - CHEVROLET,SUV,2012,177000,2.0 - 2.9,Flex,Automático,Hidráulica,Cinza,4 portas,7,14400850,Franca,Centro,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/zafira-7-lugares-collection-814207630,,
"Carros, vans e utilitários",FIAT STRADA 1.4 MPI FIRE FLEX 8V CE,FIAT,Pick-up,2015,117000,1.4,Flex,Manual,Hidráulica,Prata,2 portas,0,03294100,São Paulo,Jardim Independência,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-2015-ce-cabine-estendida-completa-em-otimo-estado-898724598,,
"Carros, vans e utilitários",FIAT TORO VOLCANO 2.0 16V 4X4 TB DIESEL AUT.,FIAT,Pick-up,2021,0,,Diesel,Automático,Hidráulica,Branco,4 portas,,09642000,São Bernardo do Campo,Rudge Ramos,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-2-0-16v-turbo-volcano-4wd-2021-881470387,,
"Carros, vans e utilitários",TOYOTA ETIOS X SEDAN 1.5 FLEX 16V 4P AUT.,TOYOTA,,2018,91000,,Flex,Automático,,,4 portas,7,11015505,Santos,Vila Mathias,https://sp.olx.com.br/baixada-santista-e-litoral-sul/autos-e-pecas/carros-vans-e-utilitarios/etios-x-sedan-1-5-flex-16v-4p-aut-891698541,,
"Carros, vans e utilitários",LAND ROVER FREELANDER2 I6 HSE 3.2 232CV AUT. 5P,LAND ROVER,Van/Utilitário,2007,127000,2.0 - 2.9,Gasolina,Automático,Hidráulica,Azul,4 portas,3,04730020,São Paulo,Várzea de Baixo,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/freelader-hse-2007-blindada-impecavel-872284401,,
"Carros, vans e utilitários",HYUNDAI HB20X STYLE 1.6 FLEX 16V MEC.,HYUNDAI,Hatch,2015,77000,1.6,Flex,Manual,Hidráulica,Branco,4 portas,4,02265002,São Paulo,Tucuruvi,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hunday-hb20-x-2015-875112891,,
"Carros, vans e utilitários",FORD KA 1.0 SE/SE PLUS TIVCT FLEX 5P,FORD,Passeio,2016,93,1.0,Flex,Manual,Hidráulica,Branco,4 portas,5,15610390,Fernandópolis,Jardim Uirapuru,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2016-898724492,,
"Carros, vans e utilitários",GM - CHEVROLET PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P,GM - CHEVROLET,Sedã,2015,1,1.4,Flex,Manual,Hidráulica,Prata,4 portas,0,13050060,Campinas,Vila Mimosa,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-prisma-ltz-1-4-flex-impecavel-895647639,,
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL COPA 1.0 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Hatch,2007,134000,1.0,Flex,Manual,Mecânica,Branco,4 portas,9,12227801,São José dos Campos,Parque Residencial Flamboyant,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/autos-e-pecas/carros-vans-e-utilitarios/gol-g4-2000-abx-tabela-898724514,,
"Carros, vans e utilitários",GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,Sedã,2015,114000,1.8,Flex,Automático,Hidráulica,Branco,4 portas,7,18070671,Sorocaba,Vila Nova Sorocaba,https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/cruze-lt-sedan-aut-2015-completo-741049075,,
"Carros, vans e utilitários",VW - VOLKSWAGEN POLO COMFORT. 200 TSI 1.0 FLEX 12V AUT.,VW - VOLKSWAGEN,Hatch,2019,46000,1.0,Flex,Automático,Hidráulica,Prata,4 portas,0,14090260,Ribeirão Preto,Jardim Paulista,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/vw-polo-confortline-tech2-2019-874203475,,
"Carros, vans e utilitários",CITROEN C3 ATTRACTION PURE TECH 1.2 FLEX 12V MEC,CITROEN,Hatch,2017,54000,1.2,Flex,Manual,Hidráulica,Branco,4 portas,4,18070631,Sorocaba,Jardim Planalto,https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/c3-atrraction-pure-tech-1-2-881471863,,
"Carros, vans e utilitários",FIAT PALIO WEEKEND ADVENTURE LOCKER 1.8 FLEX,FIAT,,2016,1,1.8,Flex,Manual,Hidráulica,Prata,4 portas,6,13050060,Campinas,Vila Mimosa,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/fiat-palio-weekend-adventure-locker-1-8-flex-maravilhosa-867076937,,
"Carros, vans e utilitários",GM - CHEVROLET S10 PICK-UP LTZ 2.4 F.POWER 4X2 CD,GM - CHEVROLET,Passeio,2013,88000,,Flex,Manual,,,4 portas,8,18800000,Piraju,,https://sp.olx.com.br/regiao-de-bauru-e-marilia/autos-e-pecas/carros-vans-e-utilitarios/s10-2013-2013-2-4-ltz-4x2-cd-8v-flex-4p-manual-871724142,,
"Carros, vans e utilitários",RENAULT DUSTER,RENAULT,Passeio,2018,79500,2.0 - 2.9,Flex,Automático,Hidráulica,Preto,4 portas,5,05533000,São Paulo,Instituto de Previdência,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renault-duster-2018-2-0-16v-hi-flex-dynamique-automatico-893060807,,
"Carros, vans e utilitários", ,,Antigo,1975,111111,2.0 - 2.9,Gasolina,Manual,Mecânica,Branco,4 portas,6,02265002,São Paulo,Tucuruvi,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/willys-rural-1975-raridade-896165882,,
"Carros, vans e utilitários",VW - VOLKSWAGEN AMAROK EXTREME CD 3.0 4X4 TB DIES. AUT.,VW - VOLKSWAGEN,,2019,33668,,Diesel,Automático,,Branco,4 portas,,18103000,Sorocaba,Éden,https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-amarok-2019-3-0-v6-tdi-diesel-highline-extreme-cd-4motion-automatico-880189032,,
"Carros, vans e utilitários",JEEP COMPASS S 2.0 4X4 TB 16V DIESEL AUT.,JEEP,Passeio,2020,17000,,Diesel,Automático,,,2 portas,9,14080120,Ribeirão Preto,Campos Elíseos,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/compass-2020-2020-2-0-16v-diesel-s-4x4-automatico-893971982,,
