Categoria,Modelo,Marca,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,price,url,Tipo de veículo
"Carros, vans e utilitários",GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P MEC.,GM - CHEVROLET,2014,56000,1.8,Flex,Manual,Assistida,Vermelho,4 portas,6,90620220,Porto Alegre,Partenon,52990.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/cruze-sport-lt-1-8-lt-mecanico-2014-c-56-milkm-897485842,Hatch
"Carros, vans e utilitários",GM - CHEVROLET MONTANA LS 1.4 ECONOFLEX 8V 2P,GM - CHEVROLET,2018,75000,1.4,Flex,Manual,Hidráulica,Branco,2 portas,9,99900000,Getúlio Vargas,,54900.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/montana-ls-furgao-completa-898644560,Van/Utilitário
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,2019,71900,,Flex,Manual,,,4 portas,0,95700000,Bento Gonçalves,,58900.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/onix-2018-2019-1-4-mpfi-ltz-8v-flex-4p-manual-861814014,Passeio
"Carros, vans e utilitários",MERCEDES-BENZ C-180 CGI AVANT. 1.6/1.6 FLEXTB 16V AUT.,MERCEDES-BENZ,2017,62000,1.6,Flex,Automático,Elétrica,Preto,4 portas,2,91030370,Porto Alegre,Passo da Areia,133900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/mercedes-benz-c180-avantgarde-flex-impecavel-895143594,Sedã
"Carros, vans e utilitários",VW - VOLKSWAGEN SAVEIRO 1.6 MI/ 1.6 MI TOTAL FLEX 8V,VW - VOLKSWAGEN,2013,120000,1.6,Flex,Manual,Hidráulica,Branco,2 portas,2,94852160,Alvorada,Tijuca,33000.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/saveiro-2013-completa-898644435,Van/Utilitário
"Carros, vans e utilitários",TOYOTA COROLLA XLI 1.6 16V 110CV AUT.,TOYOTA,2006,220198,1.6,Gasolina,Automático,Hidráulica,Azul,4 portas,6,96180000,Camaquã,,30000.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-xli-16-vvt-898292344,Sedã
"Carros, vans e utilitários",JEEP COMPASS S 2.0 4X4 TB 16V DIESEL AUT.,JEEP,2018,3500,1.0,Gasolina,Automático,Elétrica,Vermelho,,0,95590000,Tramandaí,,53990.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/quadriciclo-outlander-can-am-570-4x4-2018-r-49-990-br-br-871338675,Passeio
"Carros, vans e utilitários",FORD ECOSPORT XLS 1.6/ 1.6 FLEX 8V 5P,FORD,2006,110000,1.6,Gasolina,Manual,Hidráulica,Prata,4 portas,3,91140000,Porto Alegre,Sarandi,25900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ford-ecosport-898643827,SUV
"Carros, vans e utilitários",RENAULT CLIO AUTHENTIQUE HI-FLEX 1.0 16V 5P,RENAULT,2011,0,,Flex,Manual,Hidráulica,Cinza,4 portas,2,94960210,Cachoeirinha,Parque Granja Esperança,18500.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/carro-clio-2011-898643532,
"Carros, vans e utilitários",VW - VOLKSWAGEN FUSCA,VW - VOLKSWAGEN,1975,100000,1.6,Gasolina,Manual,Mecânica,Outra,2 portas,1,95096660,Caxias do Sul,Charqueadas,15000.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/vendo-fusca-top-76-898643516,Antigo
"Carros, vans e utilitários",FORD EDGE TITANIUM 3.5 V6 24V AWD AUT.,FORD,2016,64000,,Gasolina,Automático,Elétrica,Branco,4 portas,0,96810246,Santa Cruz do Sul,Goiás,158000.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ford-edge-titanium-3-5-v6-awd-4p-861702912,SUV
"Carros, vans e utilitários",FIAT PALIO ELX 1.0 MPI FIRE 16V 4P (25 ANOS),FIAT,2003,96000,1.0,Gasolina,Manual,Hidráulica,Verde,4 portas,0,91530110,Porto Alegre,Partenon,10500.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/venda-de-palio-2002-2003-898270195,Van/Utilitário
"Carros, vans e utilitários",FORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.,FORD,2016,65000,1.6,Flex,Automático,Elétrica,Branco,4 portas,7,92020240,Canoas,Marechal Rondon,55900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-titanium-1-6-flex-aut-898274268,Hatch
