Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,CEP,Município,Bairro,price,url,Final de placa
"Carros, vans e utilitários",TROLLER T-4 4X4 3.0 TB INT. CAP. RÍGIDA DIESEL,TROLLER,,2006,143963,3.0 - 3.9,Diesel,Manual,Hidráulica,,2 portas,78075605,Cuiabá,Jardim Universitário,69990.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/troller-t4-2006-891932084,6
"Carros, vans e utilitários",GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,Passeio,2014,78000,2.0 - 2.9,Flex,Automático,Hidráulica,Branco,4 portas,78820000,Jaciara,,60000.0,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/autos-e-pecas/carros-vans-e-utilitarios/vendo-carro-cruze-lt-2014-891940490,0
"Carros, vans e utilitários",FIAT PALIO WEEK. ADV. DUALOGIC 1.8 FLEX,FIAT,Passeio,2012,150,1.8,Flex,Automático,Hidráulica,Prata,4 portas,78070600,Cuiabá,Praeirinho,35900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/palio-adventury-1-8-automatica-aceito-troca-891936473,5
"Carros, vans e utilitários",FIAT LINEA 1.9/ HLX 1.9/1.8 FLEX  DUALOGIC 4P,FIAT,Passeio,2009,106500,1.9,Flex,Automático,Hidráulica,Outra,4 portas,78573000,Tapurah,,21000.0,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/autos-e-pecas/carros-vans-e-utilitarios/linea-dualogic-1-9-flex-completo-891931157,0
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM - CHEVROLET,Passeio,2018,50000,1.0,Flex,Manual,,Prata,4 portas,78010290,Cuiabá,Areão,42500.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/onix-joy-891928410,
"Carros, vans e utilitários",TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Sedã,2019,46000,2.0 - 2.9,Flex,Automático,Elétrica,Branco,4 portas,78065700,Cuiabá,Grande Terceiro,104000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-xei-2-0-2018-2019-891927954,8
"Carros, vans e utilitários",GM - CHEVROLET S10 PICK-UP LT 2.4 F.POWER 4X2 CD,GM - CHEVROLET,Pick-up,2014,103030,2.0 - 2.9,Flex,Manual,Hidráulica,Branco,4 portas,78049332,Cuiabá,Despraiado,74000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/s10-lt-891921813,2
"Carros, vans e utilitários",TOYOTA ETIOS XS SEDAN1.5 FLEX 16V 4P MEC.,TOYOTA,Sedã,2014,115000,1.5,Flex,Manual,Elétrica,Branco,4 portas,78048500,Cuiabá,Alvorada,35000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/etios-sedan-unico-dono--35-00-891911552,5
"Carros, vans e utilitários",GM - CHEVROLET CELTA 1.0/SUPER/N.PIQ.1.0 MPFI VHC 8V 3P,GM - CHEVROLET,Hatch,2009,120000,1.0,Flex,Manual,Mecânica,Preto,2 portas,78095464,Cuiabá,Parque Cuiabá,12500.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/celta-preto-2008-2009-891912064,8
"Carros, vans e utilitários",GM - CHEVROLET S10 P-UP ADVANT. 2.4/2.4 MPFI F.POWER CD,GM - CHEVROLET,Van/Utilitário,2008,200000,2.0 - 2.9,Flex,Manual,Hidráulica,Prata,4 portas,78110000,Várzea Grande,,38800.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/s10-advantage-891911626,4
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1.0 PLUS 16V 4P,VW - VOLKSWAGEN,Passeio,2010,180000,1.0,Flex,Manual,Hidráulica,Cinza,4 portas,78056071,Cuiabá,Nova Conquista,12000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/gol-g4-2010-891881291,2
"Carros, vans e utilitários",VW - VOLKSWAGEN PARATI GLI / GL 1.8,VW - VOLKSWAGEN,Passeio,2000,143,1.8,Álcool,Manual,Hidráulica,Prata,4 portas,78058601,Cuiabá,Jardim Umuarama II,9000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/parati-ano-2-000-891887365,
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1.0 TREND/ POWER 8V 4P,VW - VOLKSWAGEN,Hatch,2009,182000,1.0,Gasolina,Manual,Mecânica,Preto,4 portas,78250000,Pontes e Lacerda,,16900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/gol-g5-891909194,8
"Carros, vans e utilitários",TOYOTA COROLLA GLI UPPER 1.8 FLEX 16V AUT.,TOYOTA,Sedã,2019,32000,1.8,Flex,Automático,Elétrica,Branco,4 portas,78031085,Cuiabá,Cidade Alta,90900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/corolla-gli-30-mil-km-2019-90-900-00--891910584,8
"Carros, vans e utilitários", ,,,1998,220000,,,,,,4 portas,78048242,Cuiabá,Residencial Paiaguás,5000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/corsa-98-891922677,
"Carros, vans e utilitários",FORD FIESTA SEDAN STREET 1.0 8V 4P,FORD,Sedã,2013,8500,1.0,Flex,Automático,Hidráulica,Prata,4 portas,78152374,Várzea Grande,São Matheus,18000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/carro-891870272,3
"Carros, vans e utilitários",VW - VOLKSWAGEN FOX ROUTE 1.6 MI TOTAL FLEX 8V 3P,VW - VOLKSWAGEN,Hatch,2013,65000,1.6,Flex,Manual,Hidráulica,Branco,4 portas,78090195,Cuiabá,Jardim Presidente,38500.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/fox-1-6-13-14-flex-891878163,8
"Carros, vans e utilitários",FIAT PALIO ATTRA./ITALIA 1.4 EVO F.FLEX 8V 5P,FIAT,Passeio,2009,118000,1.4,Flex,Manual,Hidráulica,Cinza,4 portas,78365000,Sapezal,,,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/vende-ou-troca-891867489,6
"Carros, vans e utilitários",GM - CHEVROLET PRISMA SED. JOY/ LS 1.0 8V FLEXPOWER 4P,GM - CHEVROLET,Sedã,2019,48117,1.0,Flex,Manual,Elétrica,Branco,4 portas,78058000,Cuiabá,Morada da Serra,46500.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/prisma-joy-2019-891867496,8
"Carros, vans e utilitários",FORD KA 1.0 SE 12V FLEX 4P MANUAL,FORD,Hatch,2020,57600,1.0,Flex,Manual,Elétrica,Branco,4 portas,78120000,Várzea Grande,Cohab Cristo Rei,48900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-se-1-0-2020-impecavel-891866880,1
"Carros, vans e utilitários",FORD ECOSPORT FREESTYLE 1.6 16V FLEX 5P,FORD,SUV,2016,101065,1.6,Flex,Manual,Hidráulica,Vermelho,4 portas,78098636,Cuiabá,Jardim Industriário,57000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/ecosport-freestyle-16-17-891854406,4
"Carros, vans e utilitários",TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Hatch,2021,0,2.0 - 2.9,Flex,Automático,Hidráulica,Branco,4 portas,78000000,Cuiabá,,135000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/corolla-xei-2021-2-2-2021-891861406,3
"Carros, vans e utilitários",FORD LANDAU 5.0 V8 AUT.,FORD,Conversível,1980,1111,4.0 ou mais,Gasolina,Automático,Hidráulica,Vermelho,4 portas,78210190,Cáceres,Centro,85000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/ford-galaxie-landau-conversivel-891856761,1
"Carros, vans e utilitários",FORD KA 1.0 8V/1.0 8V ST FLEX 3P,FORD,,2010,35000,1.0,Flex,Manual,Mecânica,Preto,2 portas,78056610,Cuiabá,Residencial Wantuil de Freitas,7000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/agio-ford-ka-7-000-891846715,1
"Carros, vans e utilitários",HONDA CIVIC SEDAN EX/ EXS AUT. 4P/ DEL-SOL 2P,HONDA,Sedã,2012,108000,1.8,Flex,Automático,Hidráulica,Prata,4 portas,78020360,Cuiabá,Centro Sul,53000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/vendo-um-civic-exs-prata-12-12-891857634,9
"Carros, vans e utilitários",VW - VOLKSWAGEN POLO COMFORT. 200 TSI 1.0 FLEX 12V AUT.,VW - VOLKSWAGEN,Hatch,2018,53800,1.0,Flex,Automático,Hidráulica,Vermelho,4 portas,78118006,Várzea Grande,Cristo Rei,71900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/polo-1-0-tsi-turbo-aut-891840323,0
"Carros, vans e utilitários",FIAT UNO VIVACE 1.0 EVO FIRE FLEX 8V 3P,FIAT,Hatch,2014,82838,1.0,Flex,Manual,Mecânica,Branco,2 portas,78058807,Cuiabá,Planalto,25000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/uno-vivace-2-p-2014-891838718,0
"Carros, vans e utilitários",GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,Sedã,2014,97000,1.8,Flex,Automático,Hidráulica,Preto,4 portas,78710420,Rondonópolis,Jardim Santa Marta,55000.0,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/autos-e-pecas/carros-vans-e-utilitarios/gm-cruze-lt-2014-890003578,4
"Carros, vans e utilitários",TOYOTA COROLLA GLI UPPER 1.8 FLEX 16V AUT.,TOYOTA,Sedã,2019,62000,1.8,Flex,Automático,Elétrica,Preto,4 portas,78008800,Cuiabá,Lixeira,85990.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/corolla-gli-upper-2018-19-carro-super-conservado-891824479,4
