Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Final de placa,CEP,Município,price,url,Portas,Bairro
"Carros, vans e utilitários",VW - VOLKSWAGEN NIVUS HIGHLINE 1.0 200 TSI FLEX AUT,VW - VOLKSWAGEN,SUV,2021,5000,1.0,Flex,Automático,Elétrica,Cinza,0,49055520,Aracaju,118000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-nivus-highline-1-0-200tsi-flex-aut-2021-troco-e-financio-aprovacao-imediata-894548990,4 portas,Getúlio Vargas
"Carros, vans e utilitários",FORD FIESTA SE PLUS 1.6 16V FLEX AUT. 5P,FORD,Passeio,2017,57000,1.6,Flex,Manual,Hidráulica,Branco,0,49035020,Aracaju,40500.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/ford-new-fiesta-892252799,4 portas,Atalaia
"Carros, vans e utilitários",HYUNDAI CRETA PULSE 1.6 16V FLEX AUT.,HYUNDAI,SUV,2017,63000,1.6,Flex,Automático,Elétrica,Prata,7,49050240,Aracaju,78500.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/hyundai-creta-1-6-pulse-automatico-894540585,4 portas,Suíssa
"Carros, vans e utilitários",FIAT UNO,FIAT,Passeio,1996,0,,Gasolina,,,Verde,5,49700000,Capela,5000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/carro-fiat-uno-1996-894547375,2 portas,
"Carros, vans e utilitários",FORD ECOSPORT XLS FREESTYLE 1.6 FLEX 8V 5P,FORD,Hatch,2014,109714,1.6,Flex,Manual,Elétrica,Vermelho,4,49046090,Aracaju,46000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/ecoesport-2014-freestyle-894547786,4 portas,Ponto Novo
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1.6 MI/ POWER 1.6 MI 4P,VW - VOLKSWAGEN,,1999,0,1.6,Gasolina,Manual,Mecânica,Branco,9,49000000,Aracaju,6300.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/vende-se-ou-troca-em-moto-894544595,4 portas,
"Carros, vans e utilitários",VW - VOLKSWAGEN PARATI COMFORTLINE 1.6 MI TOT.FLEX 8V 4P,VW - VOLKSWAGEN,Passeio,2008,120000,1.6,Flex,Manual,Hidráulica,Prata,7,49030210,Aracaju,20500.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/parati-1-6-ap-2008-top-de-linha-894544901,4 portas,Farolândia
"Carros, vans e utilitários",FIAT PALIO CELEBRATION 1.0 FIRE FLEX 8V 2P,FIAT,Hatch,2015,86250,1.0,Flex,Manual,Hidráulica,,0,49070823,Aracaju,19500.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/carro-no-boleto-894546638,4 portas,Cidade Nova
"Carros, vans e utilitários",GM - CHEVROLET COBALT LTZ 1.4 8V FLEXPOWER/ECONOFLEX 4P,GM - CHEVROLET,Passeio,2012,1000000000,1.4,Flex,Manual,Hidráulica,Branco,3,49037399,Aracaju,32800.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/vende-se-carro-cobalt-ltz-894539077,4 portas,Aeroporto
"Carros, vans e utilitários",GM - CHEVROLET CELTA SPIRIT/ LT 1.0 MPFI 8V FLEXP. 5P,GM - CHEVROLET,Hatch,2013,100000,1.0,Flex,Manual,Hidráulica,Prata,7,49031040,Aracaju,24200.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/vendo-celta-2013-894537761,4 portas,Farolândia
,,,,,,,,,,,,,,,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/vendo-chery-celer-2016-894525146,,
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL ECOMOTION  1.0 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Hatch,2014,74246,1.0,Flex,Manual,Hidráulica,Branco,9,49260000,Umbaúba,30000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/vendo-gol-g6-894537596,4 portas,
"Carros, vans e utilitários",FIAT STRADA WORKING 1.4 MPI FIRE FLEX 8V CD,FIAT,Van/Utilitário,2015,109000,1.4,Flex,Manual,Hidráulica,Branco,0,49055180,Aracaju,59500.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/strada-2015-3-portas-1-4-working-cabine-dupla-completa-novissimo-888154164,2 portas,Getúlio Vargas
"Carros, vans e utilitários",VW - VOLKSWAGEN SPACEFOX 1.6 TRENDLINE TOTAL FLEX 8V 5P,VW - VOLKSWAGEN,,2019,33000,1.6,Flex,Manual,Hidráulica,Cinza,8,49032500,Aracaju,51900.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/vendo-spacefox-2019-1-6-894532521,4 portas,Farolândia
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE 1.6 MSI FLEX 16V 4P AUT,VW - VOLKSWAGEN,Sedã,2019,52000,1.6,Flex,Automático,Hidráulica,Branco,3,49000000,Aracaju,59900.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/vendo-voyage-msi-1-6-automatico-894530065,4 portas,
"Carros, vans e utilitários",HYUNDAI IX35 GLS 2.0 16V 2WD FLEX AUT.,HYUNDAI,SUV,2014,68300,2.0 - 2.9,Flex,Automático,Elétrica,Cinza,9,49027390,Aracaju,69000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/semi-novo-carro-hyundai-ix35-2wd-2-0-flex-aut-14-15-894520395,4 portas,Grageru
"Carros, vans e utilitários",VW - VOLKSWAGEN ,VW - VOLKSWAGEN,Sedã,2014,91000,1.6,Flex,Manual,Hidráulica,Prata,1,49070653,Aracaju,37000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/voyage-1-6-2014-2015-894529223,4 portas,Cidade Nova
"Carros, vans e utilitários",HYUNDAI HB20 COMFORT PLUS 1.0 TB FLEX 12V MEC.,HYUNDAI,Hatch,2017,78000,1.0,Flex,Manual,Hidráulica,Branco,2,49160000,Nossa Senhora do Socorro,42500.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/vendo-hb20-comfort-plus-1-0-2017-894508735,4 portas,
"Carros, vans e utilitários",FIAT UNO WAY 1.4 EVO FIRE FLEX 8V 5P,FIAT,Passeio,2012,187000,1.0,Flex,Manual,Mecânica,Branco,8,49037340,Aracaju,25500.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/uno-miller-way-com-ar-2012-c-ar-894519506,4 portas,Atalaia
"Carros, vans e utilitários",HONDA CITY SEDAN LX 1.5 FLEX 16V 4P MEC.,HONDA,Sedã,2010,220000,1.5,Gasolina,Manual,Hidráulica,Cinza,7,49480000,Simão Dias,29800.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/honda-city-2010-894508083,4 portas,
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM - CHEVROLET,Hatch,2019,41000,1.0,Flex,Manual,Elétrica,Branco,0,49000000,Aracaju,47800.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/onix-joy-19-19-894506954,4 portas,
"Carros, vans e utilitários",GM - CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,GM - CHEVROLET,Sedã,2011,0,1.0,Flex,Manual,Hidráulica,Prata,0,49037453,Aracaju,20500.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/corsa-classic-894500813,4 portas,Atalaia
"Carros, vans e utilitários",GM - CHEVROLET CORSA SED CLAS.SPIRIT 1.6MPFI VHC 8V AUT,GM - CHEVROLET,Sedã,2002,199000,1.0,Gasolina,Manual,Mecânica,Branco,0,49100000,São Cristóvão,8000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/excelente-corsa-classic-2002-894501112,4 portas,
"Carros, vans e utilitários",FIAT TORO ENDURANCE 1.8 16V FLEX MEC.,FIAT,Pick-up,2021,6200,1.8,Flex,Manual,Elétrica,Branco,6,49055520,Aracaju,98000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-endurance-1-8-4x2-flex-mt-2021-a-mais-nova-do-estado-894501066,4 portas,Getúlio Vargas
