Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,CEP,Município,Bairro,url,Final de placa
"Carros, vans e utilitários",HONDA CIVIC SEDAN LXS 1.8/1.8 FLEX 16V MEC. 4P,HONDA,Sedã,2009,150000,1.8,Flex,Manual,Hidráulica,Prata,4 portas,76811072,Porto Velho,Aeroclube,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/new-civic-2009-893620841,5
"Carros, vans e utilitários",HONDA CIVIC SEDAN LXS 1.8/1.8 FLEX 16V MEC. 4P,HONDA,,2008,139000,,,,,,4 portas,76820099,Porto Velho,Nova Porto Velho,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/civic-08-08-venda-ou-troco-com-volta-893609921,0
"Carros, vans e utilitários",VW - VOLKSWAGEN SPACEFOX 1.6/ 1.6 TREND TOTAL FLEX 8V 5P,VW - VOLKSWAGEN,Passeio,2018,35000,1.6,Flex,Manual,Hidráulica,Prata,4 portas,76834899,Porto Velho,Área Rural de Porto Velho,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/spacefox-2018-893667549,2
"Carros, vans e utilitários",FIAT STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT,Pick-up,2018,52,1.4,Flex,Manual,Hidráulica,Branco,4 portas,76901013,Ji-Paraná,Jardim Presidencial,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/strada-freedom-2018-2019-893613254,8
"Carros, vans e utilitários",FORD FIESTA CLASS 1.0 4P,FORD,Sedã,2008,70000,1.0,Flex,Manual,Hidráulica,Preto,4 portas,76916000,Presidente Médici,,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/fiesta-1-0-completo-funciona-tudo-nao-compensa-pagar-documento-893611843,
"Carros, vans e utilitários",GM - CHEVROLET CELTA LIFE 1.0 MPFI VHC 8V 5P,GM - CHEVROLET,Hatch,2009,135000,1.0,Flex,Manual,Hidráulica,Prata,4 portas,76828003,Porto Velho,Jardim Santana,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/celta-prata-893613494,0
"Carros, vans e utilitários",FIAT UNO MILLE WAY ECONOMY 1.0 F.FLEX 4P,FIAT,Passeio,2003,228518,1.0,Gasolina,Semi-Automático,Mecânica,Preto,4 portas,76829190,Porto Velho,Socialista,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/venda-de-um-carro-893608548,3
"Carros, vans e utilitários",VW - VOLKSWAGEN SAVEIRO,VW - VOLKSWAGEN,,2017,98000,,,,,Branco,,76907508,Ji-Paraná,Jardim Aurélio Bernardi,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/saveiro-rb-17-18-893606511,
"Carros, vans e utilitários",HONDA FIT TWIST 1.5 FLEX 16V 5P MEC.,HONDA,Hatch,2013,140000,1.5,Flex,Manual,Elétrica,Azul,4 portas,76821331,Porto Velho,Rio Madeira,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-twist-1-5-2012-2013-cambio-mecanico-893526277,7
"Carros, vans e utilitários",FORD FIESTA,FORD,Passeio,2012,1111111111,,,Manual,,Vermelho,4 portas,76810604,Porto Velho,Cidade Nova,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-2012-893583508,
