Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,CEP,Município,Bairro,price,url,Portas,Final de placa
"Carros, vans e utilitários",FORD FIESTA TRAIL 1.6 8V FLEX 5P,FORD,Hatch,2010,1000,1.6,Flex,Automático,Hidráulica,Preto,57045796,Maceió,Barro Duro,17700.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/fiesta-2010-1-6-completo-compro-e-troco-895705579,4 portas,2
"Carros, vans e utilitários",FORD FIESTA SEDAN SE 1.6 8V FLEX 4P,FORD,Sedã,2014,93200,1.6,Flex,Manual,Hidráulica,Preto,57020510,Maceió,Centro,27500.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/fiesta-sedan-1-6-se-2014-886945086,4 portas,4
"Carros, vans e utilitários",VW - VOLKSWAGEN POLO COMFORT. 200 TSI 1.0 FLEX 12V AUT.,VW - VOLKSWAGEN,Hatch,2018,43900,1.0,Flex,Automático,Elétrica,Branco,57240000,São Miguel Dos Campos,,70000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/polo-1-0-2018-comfortline-tsi-extra-895714813,4 portas,3
"Carros, vans e utilitários",GM - CHEVROLET COBALT LT 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,Sedã,2013,85000,1.8,Flex,Automático,Hidráulica,Prata,57036400,Maceió,Jatiúca,34000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/cobalt-1-8-2013-automatico-891053425,4 portas,0
"Carros, vans e utilitários",FORD KA 1.0 SE 12V FLEX 4P MANUAL,FORD,Hatch,2018,36000,1.0,Flex,Manual,Elétrica,Branco,57000000,Maceió,,40900.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-se-1-0-895696101,4 portas,8
"Carros, vans e utilitários",FORD FIESTA SE 1.6 16V FLEX 5P,FORD,Hatch,2012,116000,1.6,Flex,Manual,Elétrica,Branco,57035330,Maceió,Ponta Verde,30000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/new-fiesta-1-6-2012-895692667,4 portas,1
"Carros, vans e utilitários",HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,Passeio,2018,52944,,Flex,Automático,,,57057450,Maceió,Pinheiro,73000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-2017-2018-1-5-lx-16v-flex-4p-automatico-895688968,4 portas,8
"Carros, vans e utilitários",NISSAN FRONTIER LE CD 4X4 2.5 TB DIESEL AUT.,NISSAN,Pick-up,2018,79000,2.0 - 2.9,Diesel,Automático,Hidráulica,Preto,57210000,Piaçabuçu,,187900.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/frontier-le-a-top-da-categoria-895700894,4 portas,5
"Carros, vans e utilitários",FIAT PALIO ATTRA./ITALIA 1.4 EVO F.FLEX 8V 5P,FIAT,Hatch,2015,82817,1.4,Flex,Manual,Hidráulica,Branco,57061000,Maceió,Tabuleiro do Martins,38500.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/henrique-veiculos-palio-attractive-1-4-2015-completo-895686668,4 portas,2
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1.0 PLUS 16V 2P,VW - VOLKSWAGEN,Hatch,2000,100000,1.0,Gasolina,Manual,Hidráulica,Vermelho,57670000,Maribondo,,12000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/12-000-895692216,4 portas,4
"Carros, vans e utilitários",TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Sedã,2012,163000,2.0 - 2.9,Flex,Automático,Hidráulica,Prata,57275000,São Sebastião,,51000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/corolla-2012-882248903,4 portas,0
"Carros, vans e utilitários",GM - CHEVROLET CORSA SEDAN SUPER/ CLASSIC 1.6 MPFI 8V 4,GM - CHEVROLET,Sedã,1999,200000,1.6,Gasolina,Manual,Hidráulica,Prata,57060220,Maceió,Tabuleiro do Martins,8500.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/classic-1-6-file-895692650,4 portas,5
"Carros, vans e utilitários",JEEP COMPASS,JEEP,Passeio,2020,30110,2.0 - 2.9,Flex,Automático,Mecânica,Branco,57938000,Paripueira,Centro,120990.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-2020-2-0-16v-flex-longitude-automatico-879542986,4 portas,0
"Carros, vans e utilitários",TOYOTA HILUX SW4 SRV D4-D 4X4 3.0 TDI DIES. AUT,TOYOTA,SUV,2014,130000,3.0 - 3.9,Diesel,Automático,Hidráulica,Prata,57000000,Maceió,,0.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/junior-veiculos-hilux-sw4-srv-3-0-automatica-7-lugares-808111070,4 portas,8
"Carros, vans e utilitários",CITROEN C3 TENDANCE 1.5 FLEX 8V 5P MEC.,CITROEN,Hatch,2015,57000,1.5,Flex,Manual,Elétrica,Prata,57036680,Maceió,Jatiúca,34000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/c3-892345899,4 portas,2
"Carros, vans e utilitários",CITROEN C3 EXCL./EXCL.SOLAR./SONORA 1.6 FLEX AUT,CITROEN,Hatch,2014,67000,1.6,Flex,Automático,Elétrica,Prata,57035554,Maceió,Jatiúca,35000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/c3-exclusive-1-6-automatico-2014-895668677,4 portas,2
"Carros, vans e utilitários",PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,Sedã,2010,100000,1.4,Flex,Manual,Hidráulica,Verde,57081520,Maceió,Tabuleiro do Martins,16000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/peugeot-207-xr-passion-895664630,4 portas,5
"Carros, vans e utilitários",JEEP COMPASS LONGITUDE 2.0 4X2 FLEX 16V AUT.,JEEP,SUV,2020,46300,2.0 - 2.9,Flex,Automático,Hidráulica,Cinza,57035558,Maceió,Jatiúca,120990.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/compass-longitude-2020-895664609,4 portas,
"Carros, vans e utilitários",FORD KA 1.0 8V/1.0 8V ST FLEX 3P,FORD,Passeio,2009,109279,1.0,Gasolina,Manual,Hidráulica,Prata,57305245,Arapiraca,Manuel Teles,14200.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-895663285,2 portas,5
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL,VW - VOLKSWAGEN,Hatch,1998,111111,,Gasolina,Manual,Hidráulica,Branco,57255000,Jequiá da Praia,Centro,8000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/gol-mi-1-0-895650671,2 portas,0
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Hatch,2019,33000,1.0,Flex,Manual,Hidráulica,Branco,57057550,Maceió,Pinheiro,51990.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/onix-lt-2019-extra-895654175,4 portas,6
"Carros, vans e utilitários",FIAT TORO VOLCANO 2.0 16V 4X4 TB DIESEL AUT.,FIAT,Pick-up,2019,28000,2.0 - 2.9,Diesel,Automático,Elétrica,Vermelho,57312440,Arapiraca,Alto do Cruzeiro,128000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-895649996,4 portas,4
"Carros, vans e utilitários",FIAT STRADA ADVENTURE 1.8 MPI 8V 103CV CE,FIAT,,2010,12345678,1.8,Flex,Manual,Hidráulica,,57072255,Maceió,Cidade Universitária,40000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/strada-adventure-2010-893913085,,
"Carros, vans e utilitários",GM - CHEVROLET KADETT SPORT 2.0 MPFI / EFI,GM - CHEVROLET,Hatch,1997,777777,2.0 - 2.9,Gasolina,Manual,Hidráulica,Branco,57140000,Coqueiro Seco,,9500.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/kadett-sport-2-0-mpfi-895641352,2 portas,6
"Carros, vans e utilitários",FORD KA 1.5 SE PLUS 12V FLEX 5P MEC.,FORD,Passeio,2018,51000,1.6,Flex,Manual,Hidráulica,Outra,57000000,Maceió,,46000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/junior-veiculos-variedade-em-seminovos-746594321,4 portas,4
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM - CHEVROLET,Hatch,2019,31000,1.0,Flex,Manual,Elétrica,Cinza,57052675,Maceió,Gruta de Lourdes,49500.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/onix-joy-2019-unico-dono-892395563,4 portas,
"Carros, vans e utilitários",CHERY CELER SEDAN 1.5 16V FLEX 5P,CHERY,Sedã,2015,0,1.5,Gás Natural,Manual,Hidráulica,Prata,57046142,Maceió,Serraria,15999.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/chery-celer-895637713,4 portas,7
"Carros, vans e utilitários",VW - VOLKSWAGEN POLO HIGHLINE 200 TSI 1.0 FLEX 12V AUT.,VW - VOLKSWAGEN,Hatch,2019,18000,1.0,Flex,Automático,Elétrica,Prata,57035030,Maceió,Ponta Verde,83500.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/polo-highline-2019-200tsi-18mil-km-895629345,4 portas,3
"Carros, vans e utilitários",FORD KA 1.6 8V FLEX 3P,FORD,Hatch,2009,103000,1.6,Flex,Manual,Hidráulica,Preto,57061220,Maceió,Tabuleiro do Martins,14800.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-1-6-completo-raridade-895627735,2 portas,6
"Carros, vans e utilitários",CITROEN C3 EXCL./EXCL.SOLAR./SONORA 1.6 FLEX AUT,CITROEN,Hatch,2011,83000,1.6,Flex,Automático,Hidráulica,Prata,57057020,Maceió,Pinheiro,22500.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/c3-exclusive-2011-aut-2011-895629055,4 portas,
"Carros, vans e utilitários",FIAT PALIO,FIAT,Passeio,2010,180000,1.8,Flex,Manual,Hidráulica,Vermelho,57150000,Pilar,,27000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/top-e-ela-2010-nada-pra-fazer-so-pegar-andar-895623162,,6
"Carros, vans e utilitários",FORD FIESTA SED. 1.6 8V FLEX 4P,FORD,Sedã,2012,92120,1.6,Flex,Manual,Hidráulica,Prata,57250000,Campo Alegre,,,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/fiesta-sedan-1-6-2012-super-conservado-895621312,4 portas,0
"Carros, vans e utilitários",GM - CHEVROLET CORSA WIND 1.6 MPFI 2P,GM - CHEVROLET,Passeio,1999,66666,1.6,Gasolina,Manual,Hidráulica,Prata,57302660,Arapiraca,Canafístula,10500.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vendo-o-troco-em-moto-zap-895625781,2 portas,8
"Carros, vans e utilitários",RENAULT SANDERO LIFE FLEX 1.0 12V 5P MEC.,RENAULT,Hatch,2021,17000,1.0,Flex,Manual,Hidráulica,Branco,57072011,Maceió,Cidade Universitária,53000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/sandero-2021-864418076,4 portas,2
"Carros, vans e utilitários",FORD KA 1.0 8V/1.0 8V ST FLEX 3P,FORD,Hatch,2018,41000,1.0,Flex,Manual,Elétrica,Branco,57071325,Maceió,Clima Bom,38999.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2018-895621563,4 portas,2
"Carros, vans e utilitários",GM - CHEVROLET SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,Van/Utilitário,2018,57400,1.8,Flex,Automático,Hidráulica,Prata,57045794,Maceió,Barro Duro,65500.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/spin-ltz-automatica-2018-07-lugares-895619116,4 portas,6
"Carros, vans e utilitários",FIAT ARGO,FIAT,Passeio,2020,32434,1.0,Flex,Manual,Elétrica,Branco,57938000,Paripueira,Centro,50990.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-1-0-firefly-flex-drive-manual-846826435,4 portas,2
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Hatch,2015,72000,1.4,Flex,Manual,Hidráulica,Azul,57052901,Maceió,Gruta de Lourdes,26000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/onix-2015-ltz-895618413,4 portas,2
"Carros, vans e utilitários",FIAT DUCATO MINIBUS 2.3 T.ALTO ME DIESEL,FIAT,Van/Utilitário,2016,92000,2.0 - 2.9,Diesel,Manual,Hidráulica,Branco,57046295,Maceió,Serraria,130000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/ducato-2016-extra-895618483,2 portas,0
"Carros, vans e utilitários",GM - CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,GM - CHEVROLET,Sedã,2012,130000,1.0,Gás Natural,Manual,Hidráulica,Cinza,57081745,Maceió,Tabuleiro do Martins,19000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vendo-um-corsa-classic-2012-no-gnv-888447664,4 portas,6
