Categoria,Modelo,Marca,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,url,Tipo de veículo
"Carros, vans e utilitários",JEEP COMPASS LIMITED 2.0 4X2 FLEX 16V AUT.,JEEP,2020,5511,,Flex,Automático,,,4 portas,4,71250030,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/compass-2020-2020-2-0-16v-flex-limited-automatico-828183366,Passeio
"Carros, vans e utilitários",GM - CHEVROLET PRISMA SED. JOY 1.4 8V ECONOFLEX 4P,GM - CHEVROLET,2010,165,1.4,Flex,Manual,Hidráulica,Branco,4 portas,5,71015236,Brasília,Guará I,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/prisma-1-4-2010-898557353,Sedã
"Carros, vans e utilitários",VW - VOLKSWAGEN UP! MOVE 1.0 TSI TOTAL FLEX 12V 5P,VW - VOLKSWAGEN,2018,49840,,Flex,Manual,,,4 portas,0,71250225,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/up-2017-2018-1-0-tsi-move-up-12v-flex-4p-manual-888876486,Passeio
"Carros, vans e utilitários",FIAT GRAND SIENA ESSENCE 1.6 FLEX 16V,FIAT,2016,121000,1.6,Flex,Manual,,Branco,4 portas,9,72025065,Brasília,Taguatinga Sul (Taguatinga),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gran-siena-essence-1-6-oferta-para-essa-semana-898557140,Sedã
"Carros, vans e utilitários",GM - CHEVROLET CRUZE LTZ 1.4 16V TURBO FLEX 4P AUT.,GM - CHEVROLET,2019,62381,1.4,Flex,Automático,Elétrica,Branco,4 portas,7,71727800,Brasília,Candangolândia,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/cruze-ltz-877928333,Sedã
"Carros, vans e utilitários",NISSAN MARCH,NISSAN,2020,59176,1.6,Flex,Automático,Hidráulica,Cinza,4 portas,4,71738010,Brasília,Setor de Postos e Motéis Sul (Núcleo Bandeirante),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/nissan-march-1-6-sv-16v-flexstart-4p-xtronic-869584145,
"Carros, vans e utilitários",HONDA FIT EXL 1.5 FLEX/FLEXONE 16V 5P AUT,HONDA,2015,51000,1.5,Flex,Automático,Hidráulica,Branco,4 portas,7,72250107,Brasília,Ceilândia Norte (Ceilândia),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-exl-1-5-2015-892867069,Hatch
"Carros, vans e utilitários",FORD KA 1.0 SE 12V FLEX 4P MANUAL,FORD,2015,79456,,Flex,Manual,,,4 portas,4,71738010,Brasília,Setor de Postos e Motéis Sul (Núcleo Bandeirante),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2015-2015-1-0-ti-vct-flex-se-manual-853164348,Passeio
"Carros, vans e utilitários",NISSAN SENTRA SL 2.0/ 2.0 FLEX FUEL 16V AUT.,NISSAN,2016,64000,2.0 - 2.9,Flex,Automático,Elétrica,Cinza,4 portas,2,70337050,Brasília,Asa Sul,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/sentra-sl-2016-novissimo-898556500,Sedã
"Carros, vans e utilitários",FIAT PALIO WEEKEND TREKKING 1.6 FLEX 16V 5P,FIAT,2014,124000,1.6,Flex,Manual,Hidráulica,Prata,4 portas,6,71705510,Brasília,Núcleo Bandeirante,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/palio-weekend-trekking-14-14-1-6-agio-22-mil-886752995,Passeio
"Carros, vans e utilitários",FIAT PUNTO  ELX 1.4 FIRE FLEX 8V 5P,FIAT,2010,174888,1.4,Flex,Manual,Hidráulica,Preto,4 portas,7,72410201,Brasília,Setor Sul (Gama),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/punto-elx-2010-1-4-completo-impecavel-891732663,Hatch
"Carros, vans e utilitários",FIAT SIENA EL 1.0 MPI FIRE FLEX 8V 4P,FIAT,2013,76000,1.0,Flex,Manual,Hidráulica,Preto,4 portas,9,72811440,Luziânia,Engenheiro Jofre Parada,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/siena-1-0-el-2013-impecavel-886689806,Sedã
"Carros, vans e utilitários",HYUNDAI AZERA GLS 3.3 V6 24V 4P AUT.,HYUNDAI,2008,11111111,3.0 - 3.9,Gasolina,Automático,Hidráulica,Preto,4 portas,2,72410309,Brasília,Setor Sul (Gama),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vendo-o-troco-898556122,Sedã
"Carros, vans e utilitários",NISSAN VERSA UNIQUE 1.6 16V FLEXSTART 4P AUT.,NISSAN,2017,60772,1.6,Flex,Automático,Elétrica,Branco,4 portas,,72020110,Brasília,Taguatinga Sul (Taguatinga),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/versa-sl-unique-17-17-cvt-898555721,Sedã
"Carros, vans e utilitários",FORD ECOSPORT XLS 1.6/ 1.6 FLEX 8V 5P,FORD,2007,205000,1.6,Gasolina,Manual,Hidráulica,Prata,4 portas,9,72025065,Brasília,Taguatinga Sul (Taguatinga),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/eco-sport-xls-1-6-para-ir-logo-898556013,SUV
"Carros, vans e utilitários",FORD FIESTA PERSONNALITE 1.0 8V 66CV 5P,FORD,2006,211774,1.0,Flex,Manual,Mecânica,Vermelho,4 portas,5,72815450,Luziânia,Parque JK,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-hatch-1-0-flex-2006-aceito-trocas-898555980,Hatch
"Carros, vans e utilitários",FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2015,87500,2.0 - 2.9,Flex,Automático,Elétrica,Branco,4 portas,0,70720640,Brasília,Asa Norte,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-focus-seda-2-0-branco-automatico-892738575,Sedã
"Carros, vans e utilitários",JEEP COMPASS LONGITUDE 2.0 4X2 FLEX 16V AUT.,JEEP,2018,41207,2.0 - 2.9,Flex,Automático,Elétrica,Preto,4 portas,7,71200020,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/compass-longitude-flex-889617129,SUV
"Carros, vans e utilitários",VW - VOLKSWAGEN SAVEIRO TITAN  1.6 MI TOTAL FLEX 2P,VW - VOLKSWAGEN,2009,157000,,Flex,Manual,Hidráulica,Prata,2 portas,,72225590,Brasília,Ceilândia Norte (Ceilândia),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/saveiro-titan-conservada-unico-dono-898555540,
"Carros, vans e utilitários",GM - CHEVROLET MERIVA MAXX 1.4 MPFI 8V ECONOFLEX 5P,GM - CHEVROLET,2011,187000,1.4,Flex,Manual,Hidráulica,Prata,4 portas,1,72015530,Brasília,Taguatinga Sul (Taguatinga),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/meriva-1-4-maxx-2011-impecavel-completo-841448751,Hatch
"Carros, vans e utilitários",TOYOTA COROLLA ALTIS 2.0 FLEX 16V AUT.,TOYOTA,2018,52790,2.0 - 2.9,Flex,Automático,Elétrica,Outra,4 portas,0,71250220,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/corolla-altis-2-0-17-18-52-000-km-veja-o-video-no-anuncio-876018313,
"Carros, vans e utilitários",FIAT STRADA WORKING 1.4 MPI FIRE FLEX 8V CE,FIAT,2016,88148,1.4,Flex,Manual,Hidráulica,Branco,2 portas,0,72025065,Brasília,Taguatinga Sul (Taguatinga),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/strada-1-4-hard-working-ce-leia-todo-anuncio-898555053,Pick-up
"Carros, vans e utilitários",HYUNDAI HB20 UNIQUE 1.0 FLEX 12V MEC.,HYUNDAI,2019,48500,,Flex,Manual,,,4 portas,1,71250100,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hb20-2019-2019-1-0-unique-12v-flex-4p-manual-862489966,Passeio
"Carros, vans e utilitários",JEEP COMPASS SPORT 2.0 4X2 FLEX 16V AUT.,JEEP,2018,48000,2.0 - 2.9,Flex,Automático,Elétrica,Preto,4 portas,0,72010050,Brasília,Taguatinga Centro (Taguatinga),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-2018-18-sport-4x2-flex-preto-898126608,SUV
"Carros, vans e utilitários",HYUNDAI TUCSON LIMITED 1.6 TURBO 16V AUT.,HYUNDAI,2021,10250,1.6,Flex,Automático,Elétrica,Preto,4 portas,8,71200010,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/new-tucson-886967830,SUV
"Carros, vans e utilitários",TOYOTA HILUX CD SR 4X2 2.7 16V/2.7 FLEX AUT.,TOYOTA,2018,90000,2.0 - 2.9,Flex,Automático,Hidráulica,Branco,4 portas,1,71070612,Brasília,Guará II,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/linda-hillux-cd-sr-4x2-2-7-16v-flex-aut-898555082,Pick-up
"Carros, vans e utilitários",HYUNDAI I30 2.0 16V 145CV 5P MEC.,HYUNDAI,2010,135000,2.0 - 2.9,Gasolina,Manual,Hidráulica,Preto,4 portas,0,71208900,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/agio-i30-preto-2010-2011-889447252,Hatch
